תאריך ,שעה,מספר שיעור,קישור לאירוע ביומן,מחיר להרשמה רגיל,מחיר להרשמה מאוחדת, ₪55.00, ₪20.00,מזהה אירוע ,קופון מלא,קופון מאוחדת,Link מחיר מלא ,Link מאוחדת 
13.01.2026,18:30,11,https://www.google.com/calendar/event?eid=MzhpbHJnM2JoajMyOWxuZGtramtlNWM5bzQgbTA1Mjc2MTU1NzhAbQ," ₪1,340.00", ₪590.00, ₪550.00, ₪200.00,38ilrg3bhj329lndkkjke5c9o4,lesson11f,lesson11m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson11f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson11m"
20.01.2026,18:30,12,https://www.google.com/calendar/event?eid=aXE3dWw3M2UycDQ4Y2kxMWtrdTY2aWtubWMgbTA1Mjc2MTU1NzhAbQ," ₪1,285.00", ₪570.00, ₪605.00, ₪220.00,iq7ul73e2p48ci11kku66iknmc,lesson12f,lesson12m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson12f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson12m"
27.01.2026,18:30,13,https://www.google.com/calendar/event?eid=c2Z2MjZjbGVkc3ZpdHVrYzZzZzZscTJ2cjggbTA1Mjc2MTU1NzhAbQ," ₪1,230.00", ₪550.00, ₪660.00, ₪240.00,sfv26cledsvitukc6sg6lq2vr8,lesson13f,lesson13m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson13f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson13m"
03.02.2026,18:30,14,https://www.google.com/calendar/event?eid=dmlicmVkdDBiZ2JlZWUycm9tdDZrOGkxdTAgbTA1Mjc2MTU1NzhAbQ," ₪1,175.00", ₪530.00, ₪715.00, ₪260.00,vibredt0bgbeee2romt6k8i1u0,lesson14f,lesson14m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson14f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson14m"
10.02.2026,18:30,15,https://www.google.com/calendar/event?eid=dm1ubjA2dHYwdWE5MWRqOGcyZGRpaHF2OWsgbTA1Mjc2MTU1NzhAbQ," ₪1,120.00", ₪510.00, ₪770.00, ₪280.00,vmnn06tv0ua91dj8g2ddihqv9k,lesson15f,lesson15m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson15f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson15m"
17.02.2026,18:30,16,https://www.google.com/calendar/event?eid=dHVsYnU1ODJzYjVwMnJiNTczbWwxamkwbTAgbTA1Mjc2MTU1NzhAbQ," ₪1,065.00", ₪490.00, ₪825.00, ₪300.00,tulbu582sb5p2rb573ml1ji0m0,lesson16f,lesson16m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson16f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson16m"
24.02.2026,18:30,17,https://www.google.com/calendar/event?eid=cjR2MGw4YzZmMmJmcDYyc3J1cXRhMjRvNDAgbTA1Mjc2MTU1NzhAbQ," ₪1,010.00", ₪470.00, ₪880.00, ₪320.00,r4v0l8c6f2bfp62sruqta24o40,lesson17f,lesson17m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson17f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson17m"
10.03.2026,18:30,18,https://www.google.com/calendar/event?eid=YjhuaWFjY3AzMGRyZXN1dTJlNDhpYXUwZTggbTA1Mjc2MTU1NzhAbQ, ₪955.00, ₪450.00, ₪935.00, ₪340.00,b8niaccp30dresuu2e48iau0e8,lesson18f,lesson18m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson18f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson18m"
17.03.2026,18:30,19,https://www.google.com/calendar/event?eid=cDY5Y203ZXUxb2w5MHVqMWIwajYzYzlvbDggbTA1Mjc2MTU1NzhAbQ, ₪900.00, ₪430.00, ₪990.00, ₪360.00,p69cm7eu1ol90uj1b0j63c9ol8,lesson19f,lesson19m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson19f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson19m"
24.03.2026,18:30,20,https://www.google.com/calendar/event?eid=cGpkb2k1dGJ1NWV1bnJzdWE2djRiNnZubzAgbTA1Mjc2MTU1NzhAbQ, ₪845.00, ₪410.00," ₪1,045.00", ₪380.00,pjdoi5tbu5eunrsua6v4b6vno0,lesson20f,lesson20m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson20f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson20m"
14.04.2026,18:30,21,https://www.google.com/calendar/event?eid=NXM2M2FhYm5pY3BvaGt2dGNrOWFvM2d1NTggbTA1Mjc2MTU1NzhAbQ, ₪790.00, ₪390.00," ₪1,100.00", ₪400.00,5s63aabnicpohkvtck9ao3gu58,lesson21f,lesson21m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson21f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson21m"
21.04.2026,18:30,22,https://www.google.com/calendar/event?eid=Z2w5MHRjOHBrMWZidGRjdHJtZjlobWRsajggbTA1Mjc2MTU1NzhAbQ, ₪735.00, ₪370.00," ₪1,155.00", ₪420.00,gl90tc8pk1fbtdctrmf9hmdlj8,lesson22f,lesson22m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson22f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson22m"
28.04.2026,18:30,23,https://www.google.com/calendar/event?eid=MDVxbzJxc3JvNDFqMmh2NWFuZm92Nmc2NmMgbTA1Mjc2MTU1NzhAbQ, ₪680.00, ₪350.00," ₪1,210.00", ₪440.00,05qo2qsro41j2hv5anfov6g66c,lesson23f,lesson23m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson23f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson23m"
12.05.2026,18:30,24,https://www.google.com/calendar/event?eid=MjZoYWh1aGJtZnJjbGJmbzB1aW9jdW9mOG8gbTA1Mjc2MTU1NzhAbQ, ₪625.00, ₪330.00," ₪1,265.00", ₪460.00,26hahuhbmfrclbfo0uiocuof8o,lesson24f,lesson24m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson24f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson24m"
19.05.2026,18:30,25,https://www.google.com/calendar/event?eid=MzI2dWFsZm5pa2NlNWM1Z28xMDUwcW83NzAgbTA1Mjc2MTU1NzhAbQ, ₪570.00, ₪310.00," ₪1,320.00", ₪480.00,326ualfnikce5c5go1050qo770,lesson25f,lesson25m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson25f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson25m"
26.05.2026,18:30,26,https://www.google.com/calendar/event?eid=cHVvcmRlYmh2dDEyZHBjdTIwNTN1MzEyYWcgbTA1Mjc2MTU1NzhAbQ, ₪515.00, ₪290.00," ₪1,375.00", ₪500.00,puordebhvt12dpcu2053u312ag,lesson26f,lesson26m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson26f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson26m"
02.06.2026,18:30,27,https://www.google.com/calendar/event?eid=MGQ1YmE2bWwzZWZsOGdxbmZpaHRvM2Q3bTAgbTA1Mjc2MTU1NzhAbQ, ₪460.00, ₪270.00," ₪1,430.00", ₪520.00,0d5ba6ml3efl8gqnfihto3d7m0,lesson27f,lesson27m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson27f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson27m"
09.06.2026,18:30,28,https://www.google.com/calendar/event?eid=ajM3ZHU4NjcwaTU1MWkwNnMzaHRyazZzMDggbTA1Mjc2MTU1NzhAbQ, ₪405.00, ₪250.00," ₪1,485.00", ₪540.00,j37du8670i551i06s3htrk6s08,lesson28f,lesson28m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson28f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson28m"
16.06.2026,18:30,29,https://www.google.com/calendar/event?eid=MHEwdGdxbjRxM3N1bG9lcGhtZ2swMDcxZDggbTA1Mjc2MTU1NzhAbQ, ₪350.00, ₪230.00," ₪1,540.00", ₪560.00,0q0tgqn4q3suloephmgk0071d8,lesson29f,lesson29m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson29f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson29m"
23.06.2026,18:30,30,https://www.google.com/calendar/event?eid=ZGFrNjAxZmlpaThkdW91b2VtNHBlbWdrNG8gbTA1Mjc2MTU1NzhAbQ, ₪295.00, ₪210.00," ₪1,595.00", ₪580.00,dak601fiii8duouoem4pemgk4o,lesson30f,lesson30m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson30f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson30m"
30.06.2026,18:30,31,https://www.google.com/calendar/event?eid=bGg4bTZpamY1c2t0N2hzNXFrYmY0aXBhdjQgbTA1Mjc2MTU1NzhAbQ, ₪240.00, ₪190.00," ₪1,650.00", ₪600.00,lh8m6ijf5skt7hs5qkbf4ipav4,lesson31f,lesson31m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson31f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson31m"
07.07.2026,18:30,32,https://www.google.com/calendar/event?eid=dTYxYjZoNzA4MXNiZThyZ2xrZGgwcXJ2YmMgbTA1Mjc2MTU1NzhAbQ, ₪185.00, ₪170.00," ₪1,705.00", ₪620.00,u61b6h7081sbe8rglkdh0qrvbc,lesson32f,lesson32m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson32f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson32m"
14.07.2026,18:30,33,https://www.google.com/calendar/event?eid=MDRqbmtoNXBsZjM5bXZzYWJ0bmU5MnI3dTggbTA1Mjc2MTU1NzhAbQ, ₪130.00, ₪150.00," ₪1,760.00", ₪640.00,04jnkh5plf39mvsabtne92r7u8,lesson33f,lesson33m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson33f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson33m"
21.07.2026,18:30,34,https://www.google.com/calendar/event?eid=aDllY2FhbG1pb3A2cnBpNWtvcWFzNnUxcG8gbTA1Mjc2MTU1NzhAbQ, ₪75.00, ₪130.00," ₪1,815.00", ₪660.00,h9ecaalmiop6rpi5koqas6u1po,lesson34f,lesson34m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson34f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson34m"
